0.7	1.156315330583e+00
0.71	1.145879599416e+00
0.72	1.135656427202e+00
0.73	1.125641970800e+00
0.74	1.115832424068e+00
0.75	1.106224025372e+00
0.76	1.096813064494e+00
0.77	1.087595888844e+00
0.7799999999999999	1.078568908847e+00
0.7899999999999999	1.069728602477e+00
0.7999999999999999	1.061071518887e+00
0.8099999999999999	1.052594281129e+00
0.82	1.044293588000e+00
0.83	1.036166215026e+00
0.84	1.028209014661e+00
0.85	1.020418915739e+00
0.86	1.012792922284e+00
0.87	1.005328111734e+00
0.8799999999999999	9.980216326718e-01
0.8899999999999999	9.908707021552e-01
0.8999999999999999	9.838726027220e-01
0.9099999999999999	9.770246791560e-01
0.9199999999999999	9.703243350934e-01
0.9299999999999999	9.637690295407e-01
0.94	9.573562733720e-01
0.95	9.510836258644e-01
0.96	9.449486913262e-01
0.97	9.389491158602e-01
0.98	9.330825843027e-01
0.99	9.273468173656e-01
1.0	9.217395690071e-01
